"#name","numbers.pot"
"""277""","""niišwaahkwe swaahteethswi mateeni swaahteethswi"""
"""278""","""niišwaahkwe swaahteethswi mateeni palaani"""
"""279""","""niišwaahkwe swaahteethswi mateeni nkotimeneehki"""
"""280""","""niišwaahkwe palaani mateeni """
"""281""","""niišwaahkwe palaani mateeni nkoti"""
"""282""","""niišwaahkwe palaani mateeni niišwi"""
"""283""","""niišwaahkwe palaani mateeni nihswi"""
"""284""","""niišwaahkwe palaani mateeni niiwi"""
"""285""","""niišwaahkwe palaani mateeni yaalanwi"""
"""286""","""niišwaahkwe palaani mateeni kaakaathswi"""
"""287""","""niišwaahkwe palaani mateeni swaahteethswi"""
"""288""","""niišwaahkwe palaani mateeni palaani"""
"""289""","""niišwaahkwe palaani mateeni nkotimeneehki"""
"""290""","""niišwaahkwe nkotimeneehki mateeni """
"""291""","""niišwaahkwe nkotimeneehki mateeni nkoti"""
"""292""","""niišwaahkwe nkotimeneehki mateeni niišwi"""
"""293""","""niišwaahkwe nkotimeneehki mateeni nihswi"""
"""294""","""niišwaahkwe nkotimeneehki mateeni niiwi"""
"""295""","""niišwaahkwe nkotimeneehki mateeni yaalanwi"""
"""296""","""niišwaahkwe nkotimeneehki mateeni kaakaathswi"""
"""297""","""niišwaahkwe nkotimeneehki mateeni swaahteethswi"""
"""298""","""niišwaahkwe nkotimeneehki mateeni palaani"""
"""299""","""niišwaahkwe nkotimeneehki mateeni nkotimeneehki"""
"""300""","""nihswaahkwe """
"""301""","""nihswaahkwe nkoti"""
"""302""","""nihswaahkwe niišwi"""
"""303""","""nihswaahkwe nihswi"""
"""304""","""nihswaahkwe niiwi"""
"""305""","""nihswaahkwe yaalanwi"""
"""306""","""nihswaahkwe kaakaathswi"""
"""307""","""nihswaahkwe swaahteethswi"""
"""308""","""nihswaahkwe palaani"""
"""309""","""nihswaahkwe nkotimeneehki"""
"""310""","""nihswaahkwe mataathswi moochiaasi"""
"""311""","""nihswaahkwe mataathswi nkotiaasi"""
"""312""","""nihswaahkwe mataathswi niišwiaasi"""
"""313""","""nihswaahkwe mataathswi nihswiaasi"""
"""314""","""nihswaahkwe mataathswi niiwiaasi"""
"""315""","""nihswaahkwe mataathswi yaalanwiaasi"""
"""316""","""nihswaahkwe mataathswi kaakaathswiaasi"""
"""317""","""nihswaahkwe mataathswi swaahteethswiaasi"""
"""318""","""nihswaahkwe mataathswi palaaniaasi"""
"""319""","""nihswaahkwe mataathswi nkotimeneehkiaasi"""
"""320""","""nihswaahkwe niišwi mateeni """
"""321""","""nihswaahkwe niišwi mateeni nkoti"""
"""322""","""nihswaahkwe niišwi mateeni niišwi"""
"""323""","""nihswaahkwe niišwi mateeni nihswi"""
"""324""","""nihswaahkwe niišwi mateeni niiwi"""
"""325""","""nihswaahkwe niišwi mateeni yaalanwi"""
"""326""","""nihswaahkwe niišwi mateeni kaakaathswi"""
"""327""","""nihswaahkwe niišwi mateeni swaahteethswi"""
"""328""","""nihswaahkwe niišwi mateeni palaani"""
"""329""","""nihswaahkwe niišwi mateeni nkotimeneehki"""
"""330""","""nihswaahkwe nihswi mateeni """
"""331""","""nihswaahkwe nihswi mateeni nkoti"""
"""332""","""nihswaahkwe nihswi mateeni niišwi"""
"""333""","""nihswaahkwe nihswi mateeni nihswi"""
"""334""","""nihswaahkwe nihswi mateeni niiwi"""
"""335""","""nihswaahkwe nihswi mateeni yaalanwi"""
"""336""","""nihswaahkwe nihswi mateeni kaakaathswi"""
"""337""","""nihswaahkwe nihswi mateeni swaahteethswi"""
"""338""","""nihswaahkwe nihswi mateeni palaani"""
"""339""","""nihswaahkwe nihswi mateeni nkotimeneehki"""
"""340""","""nihswaahkwe niiwi mateeni """
"""341""","""nihswaahkwe niiwi mateeni nkoti"""
"""342""","""nihswaahkwe niiwi mateeni niišwi"""
"""343""","""nihswaahkwe niiwi mateeni nihswi"""
"""344""","""nihswaahkwe niiwi mateeni niiwi"""
"""345""","""nihswaahkwe niiwi mateeni yaalanwi"""
"""346""","""nihswaahkwe niiwi mateeni kaakaathswi"""
"""347""","""nihswaahkwe niiwi mateeni swaahteethswi"""
"""348""","""nihswaahkwe niiwi mateeni palaani"""
"""349""","""nihswaahkwe niiwi mateeni nkotimeneehki"""
"""350""","""nihswaahkwe yaalanwi mateeni """
"""351""","""nihswaahkwe yaalanwi mateeni nkoti"""
"""352""","""nihswaahkwe yaalanwi mateeni niišwi"""
"""353""","""nihswaahkwe yaalanwi mateeni nihswi"""
"""354""","""nihswaahkwe yaalanwi mateeni niiwi"""
"""355""","""nihswaahkwe yaalanwi mateeni yaalanwi"""
"""356""","""nihswaahkwe yaalanwi mateeni kaakaathswi"""
"""357""","""nihswaahkwe yaalanwi mateeni swaahteethswi"""
"""358""","""nihswaahkwe yaalanwi mateeni palaani"""
"""359""","""nihswaahkwe yaalanwi mateeni nkotimeneehki"""
"""360""","""nihswaahkwe kaakaathswi mateeni """
"""361""","""nihswaahkwe kaakaathswi mateeni nkoti"""
"""362""","""nihswaahkwe kaakaathswi mateeni niišwi"""
"""363""","""nihswaahkwe kaakaathswi mateeni nihswi"""
"""364""","""nihswaahkwe kaakaathswi mateeni niiwi"""
"""365""","""nihswaahkwe kaakaathswi mateeni yaalanwi"""
"""366""","""nihswaahkwe kaakaathswi mateeni kaakaathswi"""
"""367""","""nihswaahkwe kaakaathswi mateeni swaahteethswi"""
"""368""","""nihswaahkwe kaakaathswi mateeni palaani"""
"""369""","""nihswaahkwe kaakaathswi mateeni nkotimeneehki"""
"""370""","""nihswaahkwe swaahteethswi mateeni """
"""371""","""nihswaahkwe swaahteethswi mateeni nkoti"""
"""372""","""nihswaahkwe swaahteethswi mateeni niišwi"""
"""373""","""nihswaahkwe swaahteethswi mateeni nihswi"""
"""374""","""nihswaahkwe swaahteethswi mateeni niiwi"""
"""375""","""nihswaahkwe swaahteethswi mateeni yaalanwi"""
"""376""","""nihswaahkwe swaahteethswi mateeni kaakaathswi"""
"""377""","""nihswaahkwe swaahteethswi mateeni swaahteethswi"""
"""378""","""nihswaahkwe swaahteethswi mateeni palaani"""
"""379""","""nihswaahkwe swaahteethswi mateeni nkotimeneehki"""
"""380""","""nihswaahkwe palaani mateeni """
"""381""","""nihswaahkwe palaani mateeni nkoti"""
"""382""","""nihswaahkwe palaani mateeni niišwi"""
"""383""","""nihswaahkwe palaani mateeni nihswi"""
"""384""","""nihswaahkwe palaani mateeni niiwi"""
"""385""","""nihswaahkwe palaani mateeni yaalanwi"""
"""386""","""nihswaahkwe palaani mateeni kaakaathswi"""
"""387""","""nihswaahkwe palaani mateeni swaahteethswi"""
"""388""","""nihswaahkwe palaani mateeni palaani"""
"""389""","""nihswaahkwe palaani mateeni nkotimeneehki"""
"""390""","""nihswaahkwe nkotimeneehki mateeni """
"""391""","""nihswaahkwe nkotimeneehki mateeni nkoti"""
"""392""","""nihswaahkwe nkotimeneehki mateeni niišwi"""
"""393""","""nihswaahkwe nkotimeneehki mateeni nihswi"""
"""394""","""nihswaahkwe nkotimeneehki mateeni niiwi"""
"""395""","""nihswaahkwe nkotimeneehki mateeni yaalanwi"""
"""396""","""nihswaahkwe nkotimeneehki mateeni kaakaathswi"""
"""397""","""nihswaahkwe nkotimeneehki mateeni swaahteethswi"""
"""398""","""nihswaahkwe nkotimeneehki mateeni palaani"""
"""399""","""nihswaahkwe nkotimeneehki mateeni nkotimeneehki"""
"""400""","""niiwaahkwe """
"""401""","""niiwaahkwe nkoti"""
"""402""","""niiwaahkwe niišwi"""
"""403""","""niiwaahkwe nihswi"""
"""404""","""niiwaahkwe niiwi"""
"""405""","""niiwaahkwe yaalanwi"""
"""406""","""niiwaahkwe kaakaathswi"""
"""407""","""niiwaahkwe swaahteethswi"""
"""408""","""niiwaahkwe palaani"""
"""409""","""niiwaahkwe nkotimeneehki"""
"""410""","""niiwaahkwe mataathswi moochiaasi"""
"""411""","""niiwaahkwe mataathswi nkotiaasi"""
"""412""","""niiwaahkwe mataathswi niišwiaasi"""
"""413""","""niiwaahkwe mataathswi nihswiaasi"""
"""414""","""niiwaahkwe mataathswi niiwiaasi"""
"""415""","""niiwaahkwe mataathswi yaalanwiaasi"""
"""416""","""niiwaahkwe mataathswi kaakaathswiaasi"""
"""417""","""niiwaahkwe mataathswi swaahteethswiaasi"""
"""418""","""niiwaahkwe mataathswi palaaniaasi"""
"""419""","""niiwaahkwe mataathswi nkotimeneehkiaasi"""
"""420""","""niiwaahkwe niišwi mateeni """
"""421""","""niiwaahkwe niišwi mateeni nkoti"""
"""422""","""niiwaahkwe niišwi mateeni niišwi"""
"""423""","""niiwaahkwe niišwi mateeni nihswi"""
"""424""","""niiwaahkwe niišwi mateeni niiwi"""
"""425""","""niiwaahkwe niišwi mateeni yaalanwi"""
"""426""","""niiwaahkwe niišwi mateeni kaakaathswi"""
"""427""","""niiwaahkwe niišwi mateeni swaahteethswi"""
"""428""","""niiwaahkwe niišwi mateeni palaani"""
"""429""","""niiwaahkwe niišwi mateeni nkotimeneehki"""
"""430""","""niiwaahkwe nihswi mateeni """
"""431""","""niiwaahkwe nihswi mateeni nkoti"""
"""432""","""niiwaahkwe nihswi mateeni niišwi"""
"""433""","""niiwaahkwe nihswi mateeni nihswi"""
"""434""","""niiwaahkwe nihswi mateeni niiwi"""
"""435""","""niiwaahkwe nihswi mateeni yaalanwi"""
"""436""","""niiwaahkwe nihswi mateeni kaakaathswi"""
"""437""","""niiwaahkwe nihswi mateeni swaahteethswi"""
"""438""","""niiwaahkwe nihswi mateeni palaani"""
"""439""","""niiwaahkwe nihswi mateeni nkotimeneehki"""
"""440""","""niiwaahkwe niiwi mateeni """
"""441""","""niiwaahkwe niiwi mateeni nkoti"""
"""442""","""niiwaahkwe niiwi mateeni niišwi"""
"""443""","""niiwaahkwe niiwi mateeni nihswi"""
"""444""","""niiwaahkwe niiwi mateeni niiwi"""
"""445""","""niiwaahkwe niiwi mateeni yaalanwi"""
"""446""","""niiwaahkwe niiwi mateeni kaakaathswi"""
"""447""","""niiwaahkwe niiwi mateeni swaahteethswi"""
"""448""","""niiwaahkwe niiwi mateeni palaani"""
"""449""","""niiwaahkwe niiwi mateeni nkotimeneehki"""
"""450""","""niiwaahkwe yaalanwi mateeni """
"""451""","""niiwaahkwe yaalanwi mateeni nkoti"""
"""452""","""niiwaahkwe yaalanwi mateeni niišwi"""
